sc_point_gid,class,capacity,capital_adder_per_mw,cf,mean_resource_temp
81767,8,96.63,0,0.9947,166.0
81768,8,48.31,0,0.9947,170.0
81769,8,113.69,0,0.9947,163.0
81770,8,136.67,0,0.9947,168.0
81771,8,121.05,0,0.9947,168.0
81772,8,145.3,0,0.9947,170.0
81773,8,181.59,0,0.9947,167.0
81774,8,146.54,0,0.9947,166.0
81775,8,181.91,0,0.9947,165.0
81776,8,178.27,0,0.9947,168.0
81777,8,190.94,0,0.9947,165.0
81778,8,260.58,0,0.9947,165.0
81779,8,303.79,0,0.9947,166.0
81780,8,263.17,0,0.9947,166.0
81781,8,244.01,0,0.9947,171.0
81782,8,205.92,0,0.9947,170.0
81783,8,142.18,0,0.9947,166.0
81784,8,48.62,0,0.9946,159.0
81785,8,77.93,0,0.9946,161.0
81786,8,172.47,0,0.9947,163.0
81787,8,88.05,0,0.9947,162.0
81788,8,95.66,0,0.9947,163.0
81789,8,93.76,0,0.9946,162.0
81790,8,104.06,0,0.9946,161.0
81791,8,93.69,0,0.9946,160.0
81792,8,71.06,0,0.9946,160.0
81793,8,111.72,0,0.9946,162.0
81794,8,139.4,0,0.9947,163.0
81795,8,164.04,0,0.9946,161.0
81796,8,191.63,0,0.9946,160.0
81797,8,211.62,0,0.9946,161.0
81798,8,121.91,0,0.9946,159.0
81799,8,86.11,0,0.9946,157.0
81800,8,64.45,0,0.9946,156.0
81801,8,95.36,0,0.9946,158.0
81802,8,86.11,0,0.9946,159.0
81803,8,79.03,0,0.9945,153.0
81804,9,31.47,0,0.9945,149.0
81805,8,49.23,0,0.9945,151.0
81806,8,62.98,0,0.9945,150.0
81807,8,87.71,0,0.9945,150.0
81817,8,244.02,0,0.9946,155.0
81818,8,229.36,0,0.9946,158.0
81819,8,280.33,0,0.9946,160.0
81820,8,212.24,0,0.9946,160.0
81821,8,243.02,0,0.9946,156.0
81822,8,223.36,0,0.9945,154.0
81823,8,177.5,0,0.9945,154.0
81824,8,183.01,0,0.9946,155.0
81825,8,177.01,0,0.9946,157.0
81826,8,59.32,0,0.9946,161.0
81827,8,94.34,0,0.9947,162.0
81828,8,99.62,0,0.9947,163.0
81829,8,160.4,0,0.9947,163.0
81830,8,243.91,0,0.9947,166.0
81831,8,180.24,0,0.9947,167.0
81832,8,151.97,0,0.9947,164.0
81833,8,150.83,0,0.9947,162.0
81834,8,137.72,0,0.9947,163.0
81835,8,50.49,0,0.9947,163.0
81884,9,147.11,0,0.9944,147.0
81885,9,158.12,0,0.9945,148.0
81886,9,137.21,0,0.9944,148.0
81887,9,111.11,0,0.9945,148.0
81888,9,79.09,0,0.9945,150.0
81889,9,77.69,0,0.9944,147.0
81890,9,77.53,0,0.9945,149.0
81891,8,132.21,0,0.9945,154.0
81892,8,92.55,0,0.9945,153.0
81893,8,154.72,0,0.9945,154.0
81894,9,122.57,0,0.9945,150.0
81895,9,224.53,0,0.9944,148.0
81896,8,225.36,0,0.9945,151.0
81897,8,175.24,0,0.9945,154.0
81898,8,209.93,0,0.9946,157.0
81899,8,250.62,0,0.9946,155.0
81900,8,174.27,0,0.9946,155.0
81901,8,152.22,0,0.9946,155.0
81902,8,155.86,0,0.9946,158.0
81903,8,212.09,0,0.9946,161.0
81904,8,117.75,0,0.9947,164.0
81905,8,170.61,0,0.9947,166.0
81906,8,253.86,0,0.9947,166.0
81907,8,312.43,0,0.9947,165.0
81908,8,266.67,0,0.9947,167.0
81909,8,229.23,0,0.9947,166.0
81910,8,287.34,0,0.9947,163.0
81911,8,309.52,0,0.9947,165.0
81912,8,302.62,0,0.9947,166.0
81913,8,288.94,0,0.9947,169.0
81914,8,260.72,0,0.9947,165.0
81915,8,333.32,0,0.9947,164.0
81916,8,250.51,0,0.9946,162.0
81917,8,215.77,0,0.9946,162.0
81918,8,217.14,0,0.9946,160.0
81919,10,0.6,0,0.9937,123.0
81920,8,215.75,0,0.9947,174.0
81921,8,146.03,0,0.9947,173.0
81922,8,85.26,0,0.9947,171.0
81923,8,86.02,0,0.9947,171.0
81924,8,30.62,0,0.9947,171.0
82235,1,1475.3,0,0.9938,350.0
82236,6,41.53,0,0.9947,216.0
82237,1,2.85,0,0.9933,372.0
82238,8,0.11,0,0.9946,174.0
82239,1,32.35,0,0.994,340.0
82240,1,206.75,0,0.9941,335.0
82241,7,24.76,0,0.9947,191.0
82242,7,41.3,0,0.9947,187.0
82243,7,66.91,0,0.9947,188.0
82244,7,81.4,0,0.9947,186.0
82245,7,82.5,0,0.9947,181.0
82246,7,394.01,0,0.9947,194.0
82247,7,332.32,0,0.9947,198.0
82248,1,3659.3,0,0.9941,335.0
82249,6,464.01,0,0.9948,208.0
82250,6,463.91,0,0.9948,210.0
82251,6,335.01,0,0.9948,214.0
82252,8,117.19,0,0.9945,171.0
82253,8,182.38,0,0.9945,172.0
82254,8,212.5,0,0.9945,172.0
82255,6,469.66,0,0.9948,209.0
82256,7,186.23,0,0.9947,200.0
82257,7,264.27,0,0.9947,188.0
82258,7,195.76,0,0.9947,185.0
82259,7,92.71,0,0.9947,185.0
82260,7,121.62,0,0.9947,178.0
82261,7,196.41,0,0.9947,182.0
82262,7,193.12,0,0.9947,192.0
82263,8,134.04,0,0.9944,161.0
82264,7,241.33,0,0.9947,188.0
82265,7,255.46,0,0.9947,188.0
82266,8,97.27,0,0.9945,174.0
82267,7,2.15,0,0.9946,176.0
82270,7,16.66,0,0.9947,183.0
82271,7,367.3,0,0.9947,191.0
82272,7,597.26,0,0.9947,199.0
82276,8,85.71,0,0.9945,172.0
82277,7,5.63,0,0.9947,191.0
82279,8,1.15,0,0.9946,167.0
82280,7,14.43,0,0.9947,186.0
82281,7,135.49,0,0.9947,188.0
82282,7,477.52,0,0.9947,187.0
82283,7,441.02,0,0.9947,182.0
82284,7,335.14,0,0.9947,179.0
82285,7,317.75,0,0.9947,199.0
82286,7,302.82,0,0.9947,184.0
82287,7,153.55,0,0.9947,191.0
82288,7,200.87,0,0.9947,183.0
82289,8,31.15,0,0.9946,172.0
82290,7,120.5,0,0.9947,191.0
82291,7,271.19,0,0.9947,185.0
82292,7,199.49,0,0.9947,185.0
82293,7,116.15,0,0.9947,180.0
82294,7,65.79,0,0.9947,179.0
82295,7,413.39,0,0.9947,182.0
82296,7,307.0,0,0.9947,196.0
82297,6,159.58,0,0.9948,209.0
82298,7,251.11,0,0.9947,185.0
82299,7,527.01,0,0.9947,189.0
82300,6,781.44,0,0.9948,207.0
82301,1,3809.24,0,0.9937,354.0
82302,1,3295.8,0,0.9669,353.0
82303,1,2264.72,0,0.9938,351.0
82304,1,4613.57,0,0.9935,362.0
82305,7,216.64,0,0.9946,188.0
82306,6,391.68,0,0.9948,208.0
82307,6,213.01,0,0.9948,204.0
82308,1,1857.34,0,0.994,341.0
82309,1,1723.44,0,0.9938,350.0
82310,1,611.33,0,0.9936,358.0
82311,1,1139.88,0,0.9932,364.0
82312,6,34.81,0,0.9947,206.0
82313,7,93.0,0,0.9947,196.0
82314,7,336.11,0,0.9945,176.0
82315,1,6783.82,0,0.9941,337.0
82316,1,8176.3,0,0.9937,353.0
82317,1,8419.0,0,0.9936,361.0
82318,1,5731.64,0,0.9942,326.0
82319,2,3924.25,0,0.9942,325.0
82320,1,3002.84,0,0.9938,343.0
82321,1,2378.13,0,0.9935,362.0
82322,1,1320.53,0,0.9937,356.0
82323,1,638.12,0,0.9938,350.0
82324,1,1089.2,0,0.9937,356.0
82325,6,464.16,0,0.9948,208.0
82326,6,598.85,0,0.9948,210.0
82327,7,194.9,0,0.9947,192.0
82328,7,324.27,0,0.9947,197.0
82329,7,317.24,0,0.9948,200.0
82330,7,4.97,0,0.9947,192.0
82331,7,1.47,0,0.9947,196.0
82332,7,22.73,0,0.9947,195.0
82333,7,4.5,0,0.9946,177.0
82334,8,2.68,0,0.9946,173.0
82342,7,19.27,0,0.9948,186.0
82343,7,256.56,0,0.9947,181.0
82344,7,375.97,0,0.9947,178.0
82345,8,144.69,0,0.9947,173.0
82346,8,181.43,0,0.9946,167.0
82347,8,88.53,0,0.9946,165.0
82348,8,52.56,0,0.9945,159.0
