GSw_GenMandateScen,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
97_2035,0,0,0,0,0,0,0.1,0.1967,0.2933,0.39,0.4867,0.5833,0.68,0.7767,0.8733,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97
99_2035,0,0,0,0,0,0,0.1,0.1989,0.2978,0.3967,0.4956,0.5944,0.6933,0.7922,0.8911,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
100_2035,0,0,0,0,0,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80_2040,0,0,0,0,0,0,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
90_2040,0,0,0,0,0,0,0.1,0.1571,0.2143,0.2714,0.3286,0.3857,0.4429,0.5,0.5571,0.6143,0.6714,0.7286,0.7857,0.8429,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
95_2040,0,0,0,0,0,0,0.1,0.1607,0.2214,0.2821,0.3429,0.4036,0.4643,0.525,0.5857,0.6464,0.7071,0.7679,0.8286,0.8893,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
97_2040,0,0,0,0,0,0,0.1,0.1621,0.2243,0.2864,0.3486,0.4107,0.4729,0.535,0.5971,0.6593,0.7214,0.7836,0.8457,0.9079,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97
99_2040,0,0,0,0,0,0,0.1,0.1636,0.2271,0.2907,0.3543,0.4179,0.4814,0.545,0.6086,0.6721,0.7357,0.7993,0.8629,0.9264,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
100_2040,0,0,0,0,0,0,0.1,0.1643,0.2286,0.2929,0.3571,0.4214,0.4857,0.55,0.6143,0.6786,0.7429,0.8071,0.8714,0.9357,1,1,1,1,1,1,1,1,1,1,1
100_2035_step,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023start40_100by2035,0.2,0.2,0.2,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
