i,t,capcost,capcost_energy,fom,fom_energy,vom,rte
tes_ms,2010,2250.0,71.618037138,56.25,1.790450928,3.69,0.377
tes_ms,2011,2250.0,71.24010553800001,56.25,1.7810026389,3.69,0.379
tes_ms,2012,2250.0,70.866141732,56.25,1.7716535433,3.69,0.381
tes_ms,2013,2250.0,70.496083548,56.25,1.7624020887,3.69,0.383
tes_ms,2014,2250.0,70.12987012800001,56.25,1.7532467532,3.69,0.385
tes_ms,2015,2250.0,69.767441856,56.25,1.7441860463999999,3.69,0.387
tes_ms,2016,2250.0,69.408740358,56.25,1.7352185094,3.69,0.389
tes_ms,2017,2250.0,69.053708439,56.25,1.7263427112,3.69,0.391
tes_ms,2018,2250.0,68.702290074,56.25,1.7175572523,3.69,0.393
tes_ms,2019,2250.0,68.354430381,56.25,1.7088607593,3.69,0.395
tes_ms,2020,2250.0,65.969620254,56.25,1.6492405059000002,3.6,0.397
tes_ms,2021,2250.0,63.584810127,56.25,1.5896202534000001,3.6,0.4045
tes_ms,2022,1971.9998217,61.2,49.299995538000005,1.53,3.6,0.412
tes_ms,2023,1885.7218716000002,58.52250000000001,47.14304679,1.4630625000000002,3.42,0.41925
tes_ms,2024,1799.4439215,55.844816418,44.986098042,1.3961204109,3.33,0.4265
tes_ms,2025,1713.1659714,53.167224627,42.829149294000004,1.3291806159000001,3.24,0.43375
tes_ms,2026,1626.8880222,50.489632845,40.672200546,1.2622408209,3.06,0.441
tes_ms,2027,1540.6100721,47.812041054,38.515251807,1.1953010259,2.9699999999999998,0.44825
tes_ms,2028,1454.332122,45.134449263,36.358303059,1.1283612318,2.8800000000000003,0.4555
tes_ms,2029,1368.0541728,42.456857472,34.201354311,1.0614214368,2.7,0.46275
tes_ms,2030,1281.7762227,39.779265681000005,32.044405563,0.9944816418,2.61,0.47
tes_ms,2031,1272.6206784,39.495128067,31.815516951,0.9873782019,2.61,0.47
tes_ms,2032,1263.4651341000001,39.210990462,31.586628339,0.9802747611,2.61,0.47
tes_ms,2033,1254.3095888999999,38.926852848,31.357739727000002,0.9731713211999999,2.61,0.47
tes_ms,2034,1245.1540446000001,38.642715234,31.128851115,0.9660678813,2.61,0.47
tes_ms,2035,1235.9985003,38.358577620000005,30.899962512000002,0.9589644405000001,2.61,0.47
tes_ms,2036,1226.8429560000002,38.074440005999996,30.671073900000003,0.9518610006000001,2.61,0.47
tes_ms,2037,1217.6874117,37.790302401000005,30.442185288000005,0.9447575598,2.61,0.47
tes_ms,2038,1208.5318674,37.506164787,30.213296676,0.9376541199,2.61,0.47
tes_ms,2039,1199.3763222000002,37.222027173,29.984408064,0.9305506791,2.61,0.47
tes_ms,2040,1190.2207779,36.937889559,29.755519451999998,0.9234472391999999,2.61,0.47
tes_ms,2041,1181.0652336,36.653751954,29.52663084,0.9163437984000001,2.61,0.47
tes_ms,2042,1171.9096893,36.369614340000005,29.297742228,0.9092403585000001,2.61,0.47
tes_ms,2043,1162.7541449999999,36.085476725999996,29.068853616000002,0.9021369186000001,2.61,0.47
tes_ms,2044,1153.5986007000001,35.801339112,28.839965004000003,0.8950334778,2.61,0.47
tes_ms,2045,1144.4430555000001,35.517201498,28.611076391999998,0.8879300379,2.61,0.47
tes_ms,2046,1135.2875112,35.233063893,28.382187789,0.8808265971,2.61,0.47
tes_ms,2047,1126.1319669,34.948926279,28.153299177,0.8737231572,2.61,0.47
tes_ms,2048,1116.9764226,34.664788664999996,27.924410565000002,0.8666197164,2.61,0.47
tes_ms,2049,1107.8208783,34.380651051,27.695521953,0.8595162765,2.61,0.47
tes_ms,2050,1098.665334,34.096513445999996,27.466633341,0.8524128357,2.61,0.47
