i,t,capcost,capcost_energy,fom,fom_energy,vom,rte
tes_ms,2010,2375.0,75.596816979,59.375,1.889920424,3.8949999999999996,0.377
tes_ms,2011,2375.0,75.197889179,59.375,1.87994722995,3.8949999999999996,0.379
tes_ms,2012,2375.0,74.80314960599999,59.375,1.8700787401499999,3.8949999999999996,0.381
tes_ms,2013,2375.0,74.412532634,59.375,1.86031331585,3.8949999999999996,0.383
tes_ms,2014,2375.0,74.025974024,59.375,1.8506493506,3.8949999999999996,0.385
tes_ms,2015,2375.0,73.643410848,59.375,1.8410852711999999,3.8949999999999996,0.387
tes_ms,2016,2375.0,73.264781489,59.375,1.8316195377,3.8949999999999996,0.389
tes_ms,2017,2375.0,72.8900255745,59.375,1.8222506395999998,3.8949999999999996,0.391
tes_ms,2018,2375.0,72.519083967,59.375,1.8129770996499999,3.8949999999999996,0.393
tes_ms,2019,2375.0,72.1518987355,59.375,1.8037974681499997,3.8949999999999996,0.395
tes_ms,2020,2375.0,69.634599157,59.375,1.7408649784499999,3.8,0.397
tes_ms,2021,2375.0,67.1172995785,59.375,1.6779324896999999,3.8,0.4045
tes_ms,2022,2081.55536735,64.6,52.038884179,1.615,3.8,0.412
tes_ms,2023,1990.4841978,61.77375,49.762104945,1.5443437500000001,3.61,0.41925
tes_ms,2024,1899.41302825,58.947306219,47.485325711,1.47368265595,3.515,0.4265
tes_ms,2025,1808.3418586999999,56.1209593285,45.208546477,1.40302398345,3.42,0.43375
tes_ms,2026,1717.2706901,53.29461244749999,42.931767242999996,1.33236531095,3.23,0.441
tes_ms,2027,1626.19952055,50.468265556999995,40.6549880185,1.26170663845,3.135,0.44825
tes_ms,2028,1535.128351,47.6419186665,38.378208784499996,1.1910479669,3.04,0.4555
tes_ms,2029,1444.0571823999999,44.815571776,36.101429550499994,1.1203892943999998,2.8499999999999996,0.46275
tes_ms,2030,1352.98601285,41.9892248855,33.8246503165,1.0497306219,2.755,0.47
tes_ms,2031,1343.3218272,41.689301848499994,33.5830456705,1.04223254645,2.755,0.47
tes_ms,2032,1333.65764155,41.389378820999994,33.3414410245,1.0347344700499999,2.755,0.47
tes_ms,2033,1323.99345495,41.089455784,33.0998363785,1.0272363945999998,2.755,0.47
tes_ms,2034,1314.3292692999999,40.789532746999996,32.8582317325,1.0197383191499998,2.755,0.47
tes_ms,2035,1304.6650836499998,40.489609709999996,32.616627096,1.0122402427500001,2.755,0.47
tes_ms,2036,1295.000898,40.189686673,32.37502245,1.0047421673,2.755,0.47
tes_ms,2037,1285.33671235,39.889763645500004,32.133417804000004,0.9972440909,2.755,0.47
tes_ms,2038,1275.6725267,39.5898406085,31.891813157999994,0.98974601545,2.755,0.47
tes_ms,2039,1266.0083401,39.2899175715,31.650208511999995,0.9822479390499999,2.755,0.47
tes_ms,2040,1256.34415445,38.9899945345,31.408603865999996,0.9747498635999999,2.755,0.47
tes_ms,2041,1246.6799687999999,38.690071507,31.166999219999997,0.9672517872,2.755,0.47
tes_ms,2042,1237.01578315,38.39014847,30.925394574,0.95975371175,2.755,0.47
tes_ms,2043,1227.3515974999998,38.09022543299999,30.683789928,0.9522556363,2.755,0.47
tes_ms,2044,1217.68741185,37.790302396,30.442185282,0.9447575599,2.755,0.47
tes_ms,2045,1208.02322525,37.490379358999995,30.200580635999998,0.93725948445,2.755,0.47
tes_ms,2046,1198.3590396,37.1904563315,29.958975999499998,0.92976140805,2.755,0.47
tes_ms,2047,1188.69485395,36.890533294499996,29.7173713535,0.9222633326,2.755,0.47
tes_ms,2048,1179.0306683,36.590610257499996,29.4757667075,0.9147652561999999,2.755,0.47
tes_ms,2049,1169.3664826499999,36.2906872205,29.234162061499998,0.9072671807499999,2.755,0.47
tes_ms,2050,1159.702297,35.990764193,28.9925574155,0.8997691043499999,2.755,0.47
