t,foreign_units_cum
2020,0.0
2021,0.0
2022,0.0
2023,0.0
2024,0.0
2025,0.9422
2026,1.8845
2027,2.8267
2028,3.7689
2029,4.7111
2030,5.6534
2031,6.6285
2032,7.6037
2033,8.5789
2034,9.5541
2035,12.0386
2036,14.5231
2037,17.0077
2038,19.4922
2039,21.9767
2040,24.4613
2041,27.1868
2042,29.9124
2043,32.6379
2044,35.3635
2045,38.089
2046,40.8146
2047,43.5401
2048,46.2656
2049,48.9912
2050,51.7167
