*t,MW
2024,97000.0
2025,97000.0
2026,97000.0
2027,97000.0
2028,97000.0
2029,97000.0
2030,97000.0
2031,104000.0
2032,111000.0
2033,118000.0
2034,125000.0
2035,132000.0
2036,135000.0
2037,138000.0
2038,141000.0
2039,144000.0
2040,147000.0
2041,162000.0
2042,177000.0
2043,192000.0
2044,207000.0
2045,222000.0
2046,237000.0
2047,252000.0
2048,267000.0
2049,282000.0
2050,297000.0
