*t,MW
2024,97000.0
2025,97000.0
2026,97000.0
2027,97250.0
2028,97500.0
2029,97750.0
2030,98000.0
2031,98400.0
2032,98800.0
2033,99200.0
2034,99600.0
2035,100000.0
2036,101100.0
2037,102200.0
2038,103300.0
2039,104400.0
2040,105500.0
2041,107200.0
2042,108900.0
2043,110600.0
2044,112300.0
2045,114000.0
2046,117400.0
2047,120800.0
2048,124200.0
2049,127600.0
2050,131000.0
