t,foreign_units_cum
2020,0.0
2021,0.0
2022,0.0
2023,0.0
2024,0.0
2025,0.9422
2026,1.8845
2027,2.8267
2028,3.7689
2029,4.7111
2030,5.6534
2031,7.3779
2032,9.1024
2033,10.8269
2034,12.5514
2035,14.8689
2036,17.1864
2037,19.504
2038,21.8215
2039,24.139
2040,26.4565
2041,28.5596
2042,30.6626
2043,32.7657
2044,34.8687
2045,36.9717
2046,39.0748
2047,41.1778
2048,43.2808
2049,45.3839
2050,47.4869
